timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1660568710074,60080,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-74,text,false,,315,297,148,148,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60080,0,34
1660568710019,60135,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-63,text,false,,315,297,148,148,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60135,0,88
1660568710049,60104,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-69,text,false,,315,297,148,148,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60104,0,58
1660568710030,60123,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-65,text,false,,315,297,148,148,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60123,0,77
1660568710044,60109,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-68,text,false,,315,297,149,149,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60109,0,63
1660568770154,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-63,text,true,,291,0,148,148,null,0,0,0
1660568770154,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-74,text,true,,291,0,148,148,null,0,0,0
1660568770154,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-66,text,true,,291,0,147,147,null,0,0,0
1660568770154,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-69,text,true,,291,0,147,147,null,0,0,0
1660568770154,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-65,text,true,,291,0,147,147,null,0,0,0
1660568770154,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-68,text,true,,291,0,147,147,null,0,0,0
1660568710040,60114,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-67,text,false,,315,297,147,147,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60114,0,67
1660568710084,60069,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-76,text,false,,315,297,148,148,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60069,0,24
1660568710079,60075,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-75,text,false,,315,297,147,147,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60075,0,29
1660568770153,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-64,text,true,,291,0,150,150,null,0,0,0
1660568770154,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-67,text,true,,291,0,146,146,null,0,0,0
1660568770154,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-76,text,true,,291,0,146,146,null,0,0,0
1660568770154,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-75,text,true,,291,0,146,146,null,0,0,0
1660568710059,60095,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-71,text,false,,315,297,145,145,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60095,0,49
1660568710054,60101,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-70,text,false,,315,297,144,144,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60101,0,54
1660568709994,60161,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-58,text,false,,315,297,144,144,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60161,0,113
1660568770155,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-71,text,true,,291,0,144,144,null,0,0,0
1660568710109,60046,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-81,text,false,,315,297,143,143,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60046,0,5
1660568770155,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-58,text,true,,291,0,143,143,null,0,0,0
1660568710101,60054,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-79,text,false,,315,297,143,143,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60054,0,7
1660568710063,60090,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-72,text,false,,315,297,148,148,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60090,0,45
1660568770155,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-70,text,true,,291,0,143,143,null,0,0,0
1660568770153,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-45,text,true,,291,0,150,150,null,0,0,0
1660568770155,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-81,text,true,,291,0,143,143,null,0,0,0
1660568710010,60143,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-61,text,false,,315,297,148,148,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60143,0,97
1660568710105,60048,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-80,text,false,,315,297,150,150,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60048,0,6
1660568770155,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-79,text,true,,291,0,142,142,null,0,0,0
1660568770155,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-72,text,true,,291,0,142,142,null,0,0,0
1660568770155,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-61,text,true,,291,0,142,142,null,0,0,0
1660568710070,60083,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-73,text,false,,315,297,148,148,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60083,0,38
1660568770155,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-80,text,true,,291,0,141,141,null,0,0,0
1660568709878,60275,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-35,text,false,,315,297,150,150,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60275,0,228
